com.google.gson.functional.DefaultTypeAdaptersTest;testBitSetDeserialization;testDateSerializationInCollection
com.google.gson.functional.TypeVariableTest;testAdvancedTypeVariables;testTypeVariablesViaTypeParameter
com.google.gson.functional.ObjectTest;testSingletonLists
com.google.gson.functional.EnumTest;testEnumSubclass;testEnumSet;testEnumSubclassAsParameterizedType;testEnumSubclassWithRegisteredTypeAdapter
com.google.gson.functional.StreamingTypeAdaptersTest;testNullSafe
com.google.gson.functional.CollectionTest;testWildcardCollectionField;testFieldIsArrayList
com.google.gson.JsonParserTest;testParseMixedArray
com.google.gson.functional.ParameterizedTypesTest;testParameterizedTypeGenericArraysDeserialization;testVariableTypeFieldsAndGenericArraysDeserialization;testParameterizedTypeWithVariableTypeDeserialization;testVariableTypeArrayDeserialization
com.google.gson.functional.EscapingTest;testEscapingQuotesInStringArray
com.google.gson.functional.MapAsArrayTypeAdapterTest;testMultipleEnableComplexKeyRegistrationHasNoEffect;testSerializeComplexMapWithTypeAdapter
com.google.gson.functional.TypeHierarchyAdapterTest;testTypeHierarchy
com.google.gson.functional.DelegateTypeAdapterTest;testDelegateInvokedOnStrings;testDelegateInvoked
com.google.gson.stream.JsonReaderPathTest;testPath